Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
social media video production company,CAD,390.0,50%,243%,Low,7.0,5.41,19.19,,,,,,260.0,260.0,320.0,260.0,320.0,390.0,320.0,320.0,480.0,480.0,720.0,720.0
video marketing agency near me,CAD,320.0,-71%,-34%,Low,6.0,6.93,22.33,,,,,,260.0,320.0,260.0,110.0,140.0,260.0,210.0,70.0,170.0,720.0,1000.0,210.0
lemonlight video,CAD,70.0,33%,-81%,Low,33.0,7.69,22.51,,,,,,110.0,110.0,140.0,90.0,90.0,70.0,70.0,50.0,50.0,30.0,40.0,40.0
corporate video production companies,CAD,480.0,22%,319%,Low,6.0,12.02,41.93,,,,,,210.0,260.0,260.0,260.0,260.0,260.0,390.0,390.0,480.0,720.0,880.0,880.0
company promotional video,CAD,480.0,22%,238%,Low,4.0,5.9,26.18,,,,,,260.0,210.0,320.0,260.0,260.0,320.0,480.0,480.0,590.0,720.0,880.0,880.0
fiverr 3d animation,CAD,70.0,-22%,75%,Medium,39.0,1.44,9.32,,,,,,50.0,70.0,50.0,70.0,70.0,70.0,70.0,50.0,90.0,90.0,70.0,70.0
real estate video editing services,CAD,110.0,27%,100%,Medium,39.0,2.9,15.46,,,,,,70.0,70.0,90.0,70.0,70.0,110.0,110.0,70.0,170.0,110.0,140.0,140.0
social media video agency,CAD,140.0,0%,89%,Low,9.0,3.83,19.1,,,,,,90.0,70.0,320.0,90.0,70.0,140.0,140.0,140.0,170.0,170.0,210.0,170.0
fiverr explainer video,CAD,70.0,-44%,0%,High,68.0,2.66,11.85,,,,,,50.0,50.0,70.0,70.0,110.0,110.0,50.0,90.0,70.0,90.0,70.0,50.0
videography companies near me,CAD,720.0,39%,0%,Low,13.0,5.65,28.7,,,,,,880.0,720.0,880.0,480.0,720.0,590.0,880.0,480.0,720.0,720.0,1000.0,1000.0
marketing video production company,CAD,320.0,23%,243%,Low,4.0,7.94,37.48,,,,,,170.0,170.0,210.0,170.0,170.0,260.0,390.0,260.0,320.0,390.0,590.0,480.0
vfx companies,CAD,590.0,-28%,50%,Low,8.0,2.27,6.45,,,,,,590.0,590.0,480.0,480.0,480.0,590.0,720.0,480.0,720.0,1000.0,880.0,720.0
video production cost,CAD,170.0,24%,136%,Low,5.0,2.66,8.18,,,,,,140.0,90.0,90.0,70.0,90.0,90.0,140.0,210.0,320.0,210.0,210.0,260.0
tiktok video production company,CAD,20.0,-20%,100%,Low,0.0,,,,,,,,20.0,10.0,10.0,30.0,20.0,10.0,10.0,20.0,30.0,50.0,40.0,40.0
corporate event videography,CAD,260.0,85%,243%,Low,7.0,5.34,21.13,,,,,,140.0,170.0,140.0,110.0,140.0,140.0,260.0,140.0,320.0,390.0,590.0,720.0
corporate explainer videos,CAD,170.0,24%,189%,Low,6.0,4.86,26.71,,,,,,110.0,90.0,70.0,110.0,90.0,110.0,210.0,170.0,210.0,210.0,320.0,260.0
training video production companies,CAD,390.0,0%,247%,Low,4.0,6.91,49.29,,,,,,210.0,170.0,170.0,210.0,210.0,260.0,320.0,390.0,590.0,590.0,720.0,590.0
explainer animation studio,CAD,20.0,50%,200%,Low,13.0,6.92,16.49,,,,,,10.0,10.0,20.0,20.0,10.0,10.0,10.0,20.0,50.0,20.0,30.0,30.0
best product videos,CAD,140.0,27%,0%,Low,23.0,4.12,17.76,,,,,,170.0,170.0,170.0,140.0,140.0,140.0,140.0,110.0,140.0,110.0,170.0,140.0
best marketing video maker,CAD,20.0,-50%,-67%,Low,32.0,10.89,31.11,,,,,,20.0,10.0,20.0,20.0,20.0,70.0,30.0,20.0,20.0,20.0,30.0,10.0
event video production companies,CAD,70.0,57%,57%,Low,0.0,,,,,,,,70.0,40.0,70.0,50.0,40.0,50.0,90.0,90.0,90.0,70.0,140.0,110.0
creative video,CAD,480.0,0%,0%,Low,12.0,2.12,14.12,,,,,,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,590.0,590.0,590.0,590.0
filming companies near me,CAD,880.0,14%,39%,Low,29.0,2.35,9.42,,,,,,720.0,720.0,720.0,880.0,880.0,1000.0,1000.0,1000.0,880.0,880.0,880.0,1000.0
3d product animation video company,CAD,70.0,-22%,133%,Low,11.0,15.82,41.55,,,,,,30.0,30.0,30.0,30.0,50.0,50.0,90.0,70.0,70.0,90.0,90.0,70.0
professional video production,CAD,480.0,-55%,125%,Low,2.0,6.62,55.9,,,,,,320.0,320.0,260.0,210.0,260.0,260.0,320.0,480.0,590.0,1600.0,880.0,720.0
panasonic kairos,CAD,260.0,0%,-46%,Low,11.0,1.84,5.09,,,,,,390.0,320.0,320.0,320.0,260.0,320.0,260.0,140.0,260.0,260.0,260.0,260.0
best promo video maker,CAD,70.0,-36%,40%,Low,9.0,6.89,23.52,,,,,,40.0,50.0,70.0,50.0,40.0,40.0,40.0,40.0,110.0,110.0,50.0,70.0
social explainer video,CAD,20.0,600%,-36%,Low,20.0,6.46,26.43,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,50.0,40.0,10.0,10.0,30.0,70.0
corporate video companies,CAD,480.0,69%,213%,Low,2.0,6.68,34.52,,,,,,480.0,320.0,320.0,260.0,320.0,320.0,480.0,390.0,480.0,590.0,720.0,1000.0
b2b video agency,CAD,40.0,-20%,-43%,Low,16.0,6.01,25.34,,,,,,40.0,30.0,40.0,20.0,30.0,30.0,40.0,70.0,70.0,50.0,40.0,40.0
video creator company,CAD,10.0,0%,0%,Low,17.0,,,,,,,,10.0,20.0,10.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0
corporate video agency,CAD,260.0,-19%,433%,Low,2.0,12.53,41.93,,,,,,70.0,90.0,90.0,110.0,110.0,210.0,210.0,170.0,320.0,590.0,590.0,480.0
tv production,CAD,1600.0,0%,0%,Low,3.0,1.93,10.43,,,,,,1300.0,1300.0,1300.0,1600.0,1600.0,1600.0,2400.0,1600.0,1900.0,1600.0,1600.0,1600.0
commercial video services,CAD,170.0,52%,256%,Low,1.0,5.67,25.16,,,,,,90.0,70.0,90.0,90.0,140.0,140.0,480.0,140.0,140.0,210.0,260.0,320.0
film and video production,CAD,260.0,23%,85%,Low,13.0,4.15,19.16,,,,,,210.0,170.0,210.0,210.0,210.0,210.0,170.0,170.0,260.0,390.0,480.0,480.0
youtube video editing company,CAD,30.0,-20%,0%,Low,25.0,3.74,10.8,,,,,,20.0,40.0,20.0,30.0,20.0,30.0,20.0,30.0,40.0,50.0,40.0,40.0
promotional video production,CAD,590.0,30%,306%,Low,2.0,4.37,35.75,,,,,,390.0,390.0,260.0,320.0,320.0,320.0,390.0,390.0,590.0,1000.0,1000.0,1300.0
motion graphics services,CAD,390.0,50%,50%,Low,3.0,6.89,32.41,,,,,,480.0,390.0,320.0,320.0,320.0,260.0,320.0,390.0,480.0,480.0,480.0,720.0
motion graphics company,CAD,880.0,23%,171%,Low,3.0,3.34,14.48,,,,,,590.0,480.0,480.0,480.0,590.0,390.0,590.0,590.0,1000.0,1300.0,1600.0,1600.0
3d product animation services,CAD,210.0,22%,179%,Low,6.0,12.56,50.31,,,,,,170.0,210.0,170.0,140.0,90.0,140.0,210.0,210.0,320.0,320.0,480.0,390.0
commercial video production near me,CAD,210.0,-33%,0%,Low,2.0,9.71,29.81,,,,,,110.0,140.0,50.0,70.0,110.0,140.0,170.0,170.0,480.0,390.0,480.0,260.0
video production business,CAD,880.0,19%,296%,Low,3.0,4.17,37.59,,,,,,590.0,390.0,590.0,480.0,480.0,480.0,720.0,720.0,880.0,1600.0,1900.0,1900.0
amazon sponsored brand video,CAD,50.0,40%,75%,Low,21.0,6.99,18.17,,,,,,50.0,40.0,40.0,30.0,50.0,50.0,50.0,40.0,40.0,50.0,40.0,70.0
lemonlight video production,CAD,90.0,0%,-44%,Medium,40.0,8.09,23.37,,,,,,90.0,110.0,140.0,140.0,90.0,90.0,70.0,90.0,90.0,50.0,70.0,50.0
video production company website,CAD,590.0,14%,213%,Low,7.0,2.73,11.59,,,,,,390.0,260.0,320.0,320.0,390.0,590.0,390.0,390.0,880.0,880.0,880.0,1000.0
marketing video production,CAD,1000.0,0%,171%,Low,3.0,7.17,38.4,,,,,,720.0,590.0,1300.0,720.0,590.0,720.0,880.0,880.0,1300.0,1600.0,1900.0,1600.0
ecommerce video,CAD,480.0,22%,85%,Low,6.0,4.52,14.09,,,,,,390.0,320.0,390.0,390.0,390.0,390.0,390.0,480.0,480.0,590.0,720.0,720.0
commercial production companies near me,CAD,170.0,-36%,29%,Low,19.0,5.39,26.92,,,,,,50.0,110.0,140.0,90.0,260.0,260.0,320.0,210.0,90.0,140.0,110.0,90.0
ross video switcher,CAD,210.0,24%,0%,High,92.0,1.59,3.52,,,,,,210.0,210.0,170.0,210.0,210.0,260.0,210.0,210.0,260.0,210.0,260.0,260.0
animation 3d maker,CAD,1900.0,46%,46%,Low,29.0,1.52,5.09,,,,,,1300.0,1300.0,1000.0,1000.0,1000.0,2400.0,4400.0,1300.0,2900.0,1300.0,1600.0,1900.0
logo animation services,CAD,260.0,52%,191%,Low,9.0,4.06,15.54,,,,,,320.0,260.0,170.0,140.0,170.0,140.0,260.0,210.0,320.0,210.0,320.0,320.0
whiteboard animation service,CAD,210.0,0%,256%,Low,3.0,9.87,66.53,,,,,,210.0,140.0,140.0,170.0,110.0,110.0,210.0,170.0,260.0,320.0,390.0,320.0
digital filmmaking,CAD,260.0,-33%,-46%,Low,13.0,6.89,22.95,,,,,,390.0,320.0,210.0,260.0,210.0,210.0,210.0,170.0,320.0,390.0,320.0,260.0
youtube video production services,CAD,50.0,125%,125%,Low,4.0,1.66,34.43,,,,,,70.0,50.0,70.0,50.0,50.0,30.0,30.0,40.0,50.0,40.0,110.0,90.0
video production for businesses,CAD,880.0,19%,296%,Low,3.0,4.17,37.59,,,,,,590.0,390.0,590.0,480.0,480.0,480.0,720.0,720.0,880.0,1600.0,1900.0,1900.0
video recording company,CAD,20.0,150%,150%,Low,17.0,3.82,27.49,,,,,,10.0,10.0,30.0,10.0,20.0,20.0,10.0,10.0,10.0,20.0,40.0,50.0
corporate video production near me,CAD,2400.0,-55%,30%,Low,1.0,5.31,41.93,,,,,,590.0,720.0,720.0,1300.0,3600.0,3600.0,3600.0,3600.0,5400.0,2900.0,2900.0,1300.0
brand video maker,CAD,30.0,33%,100%,Low,30.0,3.03,12.52,,,,,,30.0,20.0,10.0,40.0,30.0,20.0,20.0,20.0,30.0,30.0,30.0,40.0
audio and video companies near me,CAD,40.0,-25%,-25%,Medium,58.0,3.35,22.92,,,,,,40.0,30.0,40.0,40.0,40.0,50.0,40.0,40.0,50.0,40.0,40.0,30.0
video maker company,CAD,10.0,0%,0%,Low,9.0,,,,,,,,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,20.0,30.0,20.0
corporate video makers,CAD,140.0,-47%,89%,Low,5.0,10.3,41.93,,,,,,70.0,70.0,70.0,90.0,70.0,90.0,90.0,70.0,170.0,320.0,210.0,170.0
best video production websites,CAD,90.0,0%,133%,Low,21.0,2.27,11.49,,,,,,40.0,40.0,70.0,90.0,390.0,40.0,70.0,40.0,90.0,70.0,50.0,70.0
film production agency,CAD,170.0,0%,333%,Low,6.0,2.33,5.69,,,,,,110.0,110.0,110.0,140.0,90.0,110.0,90.0,70.0,210.0,390.0,390.0,390.0
video ad making company,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0
educational video production companies,CAD,170.0,0%,200%,Low,2.0,2.08,18.87,,,,,,110.0,90.0,110.0,90.0,140.0,140.0,170.0,170.0,170.0,210.0,260.0,210.0
digital video agency,CAD,90.0,50%,320%,Low,3.0,5.29,22.74,,,,,,30.0,50.0,50.0,70.0,50.0,50.0,40.0,40.0,70.0,140.0,210.0,210.0
media production agency,CAD,880.0,85%,307%,Low,7.0,3.07,12.07,,,,,,720.0,720.0,590.0,590.0,590.0,590.0,590.0,590.0,880.0,1300.0,1900.0,2400.0
lemonlight pricing,CAD,30.0,0%,-33%,Medium,46.0,6.99,42.32,,,,,,40.0,20.0,20.0,20.0,50.0,110.0,20.0,30.0,30.0,20.0,20.0,20.0
video post production,CAD,480.0,0%,50%,Low,4.0,3.65,23.42,,,,,,320.0,260.0,390.0,390.0,390.0,390.0,390.0,320.0,480.0,720.0,1000.0,720.0
audio video production,CAD,260.0,0%,182%,Low,5.0,3.84,18.16,,,,,,260.0,170.0,170.0,260.0,210.0,210.0,170.0,170.0,320.0,480.0,480.0,480.0
video making agency,CAD,30.0,40%,250%,Low,4.0,,,,,,,,10.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,50.0,50.0,70.0
corporate production companies,CAD,170.0,52%,88%,Low,9.0,12.82,35.61,,,,,,140.0,170.0,110.0,110.0,90.0,110.0,140.0,140.0,210.0,210.0,320.0,320.0
full service production company,CAD,320.0,50%,324%,Low,5.0,4.19,14.8,,,,,,210.0,170.0,210.0,140.0,210.0,260.0,320.0,320.0,320.0,480.0,590.0,720.0
whiteboard animation companies,CAD,140.0,24%,136%,Low,6.0,8.54,49.09,,,,,,140.0,110.0,70.0,110.0,90.0,70.0,110.0,140.0,210.0,210.0,320.0,260.0
architectural animation,CAD,480.0,0%,23%,Low,10.0,3.49,10.48,,,,,,390.0,480.0,320.0,390.0,390.0,320.0,480.0,590.0,590.0,590.0,590.0,590.0
cgi video production,CAD,90.0,0%,267%,Low,2.0,,,,,,,,30.0,40.0,10.0,20.0,10.0,10.0,10.0,390.0,170.0,110.0,50.0,110.0
sydney video producer,CAD,10.0,0%,0%,Medium,40.0,4.76,23.28,,,,,,20.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0
healthcare video production companies,CAD,30.0,0%,50%,Low,4.0,,,,,,,,10.0,10.0,10.0,20.0,10.0,10.0,70.0,50.0,30.0,30.0,40.0,30.0
interactive video production,CAD,50.0,80%,29%,Low,2.0,,,,,,,,50.0,30.0,20.0,30.0,30.0,20.0,70.0,90.0,90.0,50.0,90.0,90.0
commercial video production company,CAD,480.0,22%,175%,Low,3.0,11.67,41.93,,,,,,390.0,390.0,260.0,210.0,320.0,590.0,590.0,480.0,590.0,720.0,880.0,880.0
digital film production,CAD,140.0,-19%,55%,Low,9.0,3.22,21.31,,,,,,90.0,90.0,90.0,140.0,140.0,140.0,110.0,90.0,170.0,210.0,170.0,170.0
average cost of tv commercial production,CAD,30.0,0%,400%,Low,3.0,,,,,,,,20.0,20.0,10.0,20.0,20.0,20.0,40.0,30.0,50.0,50.0,70.0,50.0
video to promote your business,CAD,10.0,0%,0%,High,77.0,3.4,18.66,,,,,,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
home video studio,CAD,480.0,0%,-19%,Low,3.0,,,,,,,,590.0,390.0,480.0,390.0,390.0,480.0,480.0,480.0,480.0,390.0,390.0,390.0
wedding video editing company,CAD,30.0,25%,67%,Low,15.0,3.0,7.66,,,,,,20.0,10.0,20.0,20.0,20.0,40.0,20.0,20.0,40.0,40.0,40.0,50.0
medical animation studio,CAD,90.0,27%,250%,Low,19.0,4.6,20.96,,,,,,50.0,40.0,40.0,50.0,50.0,70.0,90.0,70.0,90.0,110.0,140.0,140.0
cinematography and film video production,CAD,140.0,27%,0%,Low,18.0,5.3,29.7,,,,,,110.0,90.0,140.0,140.0,110.0,170.0,140.0,140.0,170.0,110.0,140.0,140.0
motion graphics design,CAD,6600.0,0%,-19%,Low,13.0,3.28,12.84,,,,,,8100.0,8100.0,8100.0,9900.0,6600.0,5400.0,5400.0,4400.0,6600.0,6600.0,8100.0,6600.0
3d animation companies near me,CAD,40.0,-50%,100%,Low,8.0,,,,,,,,50.0,50.0,20.0,10.0,10.0,20.0,70.0,70.0,40.0,40.0,40.0,20.0
animated video production company,CAD,320.0,23%,181%,Low,4.0,13.98,45.74,,,,,,210.0,320.0,260.0,260.0,210.0,210.0,210.0,210.0,320.0,480.0,590.0,590.0
marketing video agency,CAD,1300.0,0%,116%,Low,8.0,6.65,24.23,,,,,,720.0,1000.0,880.0,880.0,1300.0,1900.0,1600.0,720.0,1300.0,1900.0,2400.0,1900.0
3d explainer video maker,CAD,10.0,-50%,0%,Low,9.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0
animated explainer video production,CAD,720.0,30%,233%,Low,5.0,16.28,53.38,,,,,,480.0,390.0,320.0,480.0,480.0,480.0,590.0,590.0,880.0,1000.0,1300.0,1300.0
miami production company,CAD,110.0,-21%,-35%,Low,26.0,4.09,12.17,,,,,,90.0,110.0,140.0,140.0,90.0,90.0,90.0,110.0,170.0,140.0,170.0,110.0
brand video agency,CAD,90.0,0%,180%,Low,2.0,10.16,37.65,,,,,,50.0,70.0,50.0,40.0,40.0,40.0,90.0,90.0,70.0,140.0,210.0,140.0
corporate film production,CAD,210.0,23%,556%,Low,1.0,7.45,17.81,,,,,,110.0,50.0,50.0,50.0,70.0,50.0,90.0,90.0,210.0,480.0,480.0,590.0
small video production company,CAD,30.0,-50%,0%,Medium,54.0,5.86,19.31,,,,,,20.0,40.0,20.0,10.0,10.0,20.0,40.0,70.0,30.0,40.0,30.0,20.0
corporate films,CAD,260.0,22%,50%,Low,5.0,4.82,16.03,,,,,,260.0,170.0,170.0,210.0,210.0,260.0,260.0,260.0,320.0,320.0,480.0,390.0
best saas explainer videos,CAD,50.0,0%,800%,Low,13.0,7.37,24.51,,,,,,30.0,50.0,50.0,40.0,30.0,20.0,40.0,30.0,70.0,90.0,70.0,90.0
3d animation services company,CAD,70.0,0%,450%,Low,1.0,,,,,,,,30.0,40.0,20.0,20.0,20.0,40.0,90.0,110.0,90.0,110.0,140.0,110.0
video explainer company,CAD,40.0,0%,250%,Low,1.0,,,,,,,,20.0,10.0,20.0,10.0,20.0,20.0,40.0,40.0,30.0,70.0,90.0,70.0
cgi animation companies,CAD,90.0,-18%,80%,Low,18.0,3.78,18.57,,,,,,50.0,70.0,70.0,50.0,70.0,90.0,70.0,90.0,90.0,110.0,140.0,90.0
music video makers near me,CAD,50.0,-29%,0%,Medium,61.0,2.75,7.28,,,,,,70.0,90.0,90.0,50.0,70.0,30.0,40.0,50.0,70.0,70.0,40.0,50.0
animated explainer video services,CAD,210.0,88%,256%,Low,4.0,12.84,45.92,,,,,,140.0,140.0,110.0,110.0,110.0,140.0,260.0,260.0,320.0,170.0,390.0,320.0
video ad making agency,CAD,10.0,0%,0%,High,96.0,11.32,34.57,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
top commercial production companies,CAD,140.0,-18%,27%,Low,11.0,3.93,18.45,,,,,,140.0,110.0,110.0,110.0,210.0,320.0,110.0,90.0,140.0,170.0,140.0,140.0
video production house near me,CAD,50.0,0%,-76%,Medium,43.0,3.37,27.95,,,,,,70.0,140.0,30.0,30.0,50.0,70.0,50.0,30.0,70.0,40.0,70.0,40.0
film editing companies,CAD,110.0,-33%,100%,Low,21.0,3.3,12.7,,,,,,50.0,70.0,90.0,70.0,110.0,170.0,140.0,70.0,170.0,210.0,140.0,140.0
sponsored brand video,CAD,70.0,0%,-64%,Low,11.0,6.65,36.34,,,,,,140.0,70.0,70.0,90.0,50.0,70.0,90.0,50.0,90.0,50.0,110.0,50.0
whiteboard explainer video company,CAD,20.0,-50%,0%,Low,15.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,50.0,40.0,50.0,20.0,10.0,10.0
promotional video maker near me,CAD,40.0,-50%,100%,Low,23.0,6.72,12.29,,,,,,10.0,20.0,10.0,30.0,260.0,50.0,10.0,10.0,10.0,40.0,10.0,20.0
fiverr 2d animation,CAD,40.0,33%,0%,Low,23.0,1.44,5.95,,,,,,40.0,40.0,30.0,50.0,30.0,30.0,30.0,50.0,40.0,30.0,40.0,40.0
promo video production company,CAD,40.0,100%,300%,Low,2.0,,,,,,,,20.0,20.0,10.0,20.0,10.0,30.0,70.0,50.0,70.0,20.0,70.0,40.0
full service video production,CAD,260.0,0%,50%,Low,2.0,3.76,21.38,,,,,,210.0,140.0,210.0,210.0,170.0,170.0,320.0,260.0,390.0,390.0,390.0,390.0
media production services,CAD,210.0,-64%,24%,Low,5.0,3.47,12.55,,,,,,170.0,260.0,110.0,140.0,210.0,90.0,70.0,70.0,140.0,720.0,390.0,260.0
branded content production companies,CAD,70.0,-55%,-44%,Low,25.0,4.76,17.3,,,,,,70.0,90.0,70.0,50.0,50.0,50.0,50.0,50.0,70.0,110.0,110.0,50.0
3d animation design,CAD,110.0,0%,100%,Low,11.0,2.17,8.23,,,,,,90.0,90.0,70.0,70.0,70.0,70.0,70.0,90.0,140.0,140.0,170.0,140.0
advertising agency video,CAD,880.0,23%,233%,Low,4.0,7.78,35.31,,,,,,480.0,390.0,390.0,390.0,720.0,480.0,480.0,590.0,880.0,1300.0,1900.0,1600.0
corporate videographer near me,CAD,390.0,-46%,0%,Low,11.0,4.5,35.76,,,,,,110.0,110.0,210.0,170.0,210.0,1300.0,590.0,320.0,320.0,480.0,720.0,260.0
vyond price,CAD,1300.0,22%,22%,Low,27.0,1.2,6.95,,,,,,590.0,1600.0,2400.0,880.0,2400.0,590.0,1900.0,1600.0,1600.0,590.0,720.0,720.0
3d product animation company,CAD,140.0,-18%,56%,Low,1.0,,,,,,,,170.0,110.0,70.0,70.0,50.0,90.0,140.0,140.0,210.0,170.0,170.0,140.0
starting a video production company,CAD,50.0,0%,-29%,Low,16.0,1.3,12.05,,,,,,50.0,40.0,50.0,50.0,30.0,50.0,40.0,50.0,70.0,50.0,50.0,50.0
top explainer video companies,CAD,70.0,-18%,125%,Low,5.0,21.26,74.04,,,,,,40.0,30.0,30.0,20.0,20.0,40.0,140.0,110.0,70.0,110.0,140.0,90.0
2d motion graphics,CAD,140.0,24%,91%,Low,11.0,2.28,9.78,,,,,,140.0,110.0,110.0,140.0,140.0,110.0,260.0,110.0,140.0,170.0,170.0,210.0
corporate promotional video,CAD,480.0,22%,238%,Low,4.0,5.9,26.18,,,,,,260.0,210.0,320.0,260.0,260.0,320.0,480.0,480.0,590.0,720.0,880.0,880.0
video production company services,CAD,70.0,22%,450%,Low,3.0,4.04,17.75,,,,,,20.0,10.0,90.0,50.0,10.0,10.0,140.0,140.0,110.0,90.0,110.0,110.0
tv commercial production companies near me,CAD,260.0,-90%,-64%,Low,6.0,,,,,,,,90.0,70.0,110.0,50.0,320.0,260.0,480.0,390.0,390.0,480.0,260.0,50.0
dc production companies,CAD,480.0,0%,175%,Low,7.0,2.95,12.32,,,,,,320.0,260.0,260.0,320.0,390.0,390.0,320.0,260.0,390.0,880.0,1000.0,880.0
commercial film production companies,CAD,50.0,0%,180%,Low,4.0,6.76,17.25,,,,,,20.0,30.0,30.0,30.0,20.0,20.0,20.0,10.0,50.0,140.0,140.0,140.0
3d rendering animation,CAD,210.0,-18%,129%,Low,8.0,3.29,14.8,,,,,,110.0,140.0,110.0,140.0,110.0,140.0,110.0,140.0,260.0,390.0,390.0,320.0
video media company,CAD,50.0,40%,75%,Low,12.0,5.24,39.53,,,,,,40.0,40.0,30.0,40.0,40.0,40.0,50.0,30.0,50.0,50.0,50.0,70.0
best video marketing agencies,CAD,70.0,0%,125%,Low,3.0,,,,,,,,40.0,30.0,70.0,70.0,50.0,70.0,50.0,90.0,70.0,90.0,110.0,90.0
top video marketing agencies,CAD,10.0,200%,200%,Low,18.0,9.2,56.39,,,,,,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0
3d animation rendering services,CAD,70.0,27%,250%,Low,4.0,17.85,38.2,,,,,,50.0,50.0,30.0,30.0,40.0,40.0,70.0,70.0,70.0,110.0,170.0,140.0
video content marketing agency,CAD,170.0,23%,256%,Low,3.0,11.57,26.78,,,,,,70.0,90.0,110.0,110.0,140.0,140.0,110.0,110.0,140.0,260.0,320.0,320.0
computer animation companies,CAD,70.0,-21%,57%,Low,8.0,2.54,15.83,,,,,,50.0,50.0,30.0,40.0,40.0,30.0,50.0,50.0,110.0,140.0,110.0,110.0
multimedia production company,CAD,90.0,133%,320%,Low,6.0,3.58,27.95,,,,,,50.0,50.0,50.0,70.0,70.0,70.0,50.0,50.0,140.0,90.0,90.0,210.0
rent video studio,CAD,480.0,22%,125%,Low,17.0,1.09,5.01,,,,,,390.0,390.0,480.0,590.0,390.0,320.0,390.0,390.0,480.0,590.0,590.0,720.0
cgi animation studios,CAD,90.0,-18%,80%,Low,18.0,3.78,18.57,,,,,,50.0,70.0,70.0,50.0,70.0,90.0,70.0,90.0,90.0,110.0,140.0,90.0
logo motion design,CAD,40.0,0%,-20%,Low,33.0,1.8,4.91,,,,,,70.0,50.0,70.0,40.0,30.0,40.0,20.0,20.0,50.0,40.0,30.0,40.0
biggest video production companies,CAD,20.0,-50%,-50%,Low,9.0,,,,,,,,10.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,50.0,20.0,30.0,10.0
mpc vfx,CAD,880.0,-66%,69%,Low,1.0,2.17,7.75,,,,,,590.0,480.0,590.0,590.0,480.0,480.0,480.0,590.0,1000.0,2900.0,1600.0,1000.0
outsource video production,CAD,50.0,29%,200%,Low,4.0,3.33,28.16,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,40.0,50.0,50.0,70.0,70.0,90.0
best marketing videos,CAD,140.0,21%,0%,Low,12.0,6.09,19.19,,,,,,110.0,110.0,140.0,140.0,110.0,140.0,140.0,70.0,140.0,140.0,170.0,170.0
dneg animation,CAD,1600.0,0%,0%,Low,0.0,,,,,,,,1900.0,2400.0,1600.0,1300.0,1300.0,1600.0,1300.0,1300.0,1300.0,1000.0,1300.0,1000.0
corporate training video production,CAD,170.0,22%,333%,Low,4.0,8.08,37.19,,,,,,90.0,90.0,110.0,110.0,90.0,110.0,210.0,170.0,210.0,320.0,390.0,390.0
video content creation company,CAD,70.0,40%,40%,Low,15.0,8.87,81.71,,,,,,70.0,30.0,40.0,70.0,50.0,70.0,50.0,90.0,70.0,50.0,90.0,70.0
music video company near me,CAD,40.0,-29%,67%,Low,25.0,2.46,6.36,,,,,,30.0,20.0,30.0,40.0,30.0,30.0,20.0,20.0,40.0,70.0,30.0,50.0
animation outsourcing,CAD,140.0,0%,50%,Low,8.0,5.69,24.88,,,,,,110.0,140.0,90.0,140.0,110.0,90.0,110.0,140.0,170.0,210.0,260.0,210.0
training video companies,CAD,140.0,0%,91%,Low,14.0,9.7,71.16,,,,,,110.0,70.0,70.0,90.0,70.0,90.0,110.0,90.0,210.0,210.0,260.0,210.0
social media production agency,CAD,10.0,100%,100%,Low,4.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,20.0
corporate video shoot,CAD,40.0,-20%,33%,Low,4.0,,,,,,,,30.0,40.0,40.0,20.0,30.0,30.0,30.0,40.0,50.0,50.0,90.0,40.0
on demand video production,CAD,10.0,0%,0%,Low,14.0,,,,,,,,10.0,10.0,10.0,20.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
promotional video services,CAD,390.0,0%,129%,Low,2.0,5.4,27.75,,,,,,140.0,170.0,140.0,140.0,110.0,140.0,1300.0,1000.0,260.0,390.0,590.0,390.0
