keyword,avg_monthly_searches,cpc_low,cpc_high,competition_score,competition_text,currency,cpc,search_intent
online content production,10.0,,,26.0,Low,CAD,,informational
programmatic mobile video,10.0,,,,Unknown,CAD,,informational
reels no canva,10.0,,,,Unknown,CAD,,informational
short film making company,20.0,,,0.0,Low,CAD,,transactional
social media asset management platform,10.0,,,0.0,Low,CAD,,commercial
tai lopez viral video influencer agency,10.0,,,,Unknown,CAD,,transactional
tmobile ads,880.0,1.59,35.43,3.0,Low,CAD,18.51,informational
tsa tiktok video,10.0,,,,Unknown,CAD,,informational
tube short,590.0,,,3.0,Low,CAD,,informational
u tube short,673000.0,0.01,0.04,2.0,Low,CAD,0.025,informational
vertical ad,320.0,11.15,83.65,2.0,Low,CAD,47.400000000000006,informational
vertical ads youtube,10.0,,,0.0,Low,CAD,,informational
vertical video ads youtube,10.0,,,29.0,Low,CAD,,informational
vertical video examples,70.0,,,2.0,Low,CAD,,commercial
vertical video format instagram,10.0,,,0.0,Low,CAD,,informational
vertical video on facebook,50.0,,,5.0,Low,CAD,,informational
vertical youtube ads,30.0,,,0.0,Low,CAD,,informational
viral ad agency,10.0,40.86,90.02,6.0,Low,CAD,65.44,transactional
viral advertising agency,10.0,40.86,90.02,6.0,Low,CAD,65.44,transactional
viral video influencer agency,10.0,,,71.0,High,CAD,,transactional
viral video marketing companies,10.0,,,0.0,Low,CAD,,informational
youtube ads mobile,110.0,,,0.0,Low,CAD,,informational
youtube shorts template canva,10.0,,,0.0,Low,CAD,,informational
youtube vertical ad,90.0,,,1.0,Low,CAD,,informational
youtube vertical video,880.0,,,0.0,Low,CAD,,informational
youtube vertical video 2022,10.0,,,,Unknown,CAD,,informational
youtube vertical video ads,20.0,,,2.0,Low,CAD,,informational
youtube vertical video upload,10.0,,,0.0,Low,CAD,,informational
instagram reels video production,,,,,Unknown,CAD,,commercial
youtube shorts production,,,,,Unknown,CAD,,informational
social media ad videos,,,,,Unknown,CAD,,informational
